ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
200934_at	1.34e-13	6.00e-18	8.9762575	29.944296	0.8508666	DEK	DEK proto-oncogene
201930_at	4.65e-12	4.18e-16	8.4201712	25.862808	0.74281754	MCM6	minichromosome maintenance complex component 6
219051_x_at	1.15e-11	1.86e-15	-8.218119	24.427485	-1.38753461	METRN	meteorin, glial cell differentiation regulator
205225_at	1.15e-11	2.06e-15	-8.2044436	24.331281	-1.90859257	ESR1	estrogen receptor 1
202107_s_at	1.23e-11	2.96e-15	8.1545046	23.980996	0.70298501	MCM2	minichromosome maintenance complex component 2
202413_s_at	1.23e-11	3.32e-15	8.1389422	23.872167	0.60698533	USP1	ubiquitin specific peptidase 1
212441_at	3.26e-11	1.02e-14	-7.9827341	22.788534	-0.49945356	KIAA0232	KIAA0232
204825_at	4.46e-11	1.60e-14	7.9204011	22.360596	1.08857531	MELK	maternal embryonic leucine zipper kinase
216092_s_at	5.17e-11	2.18e-14	-7.876777	22.062632	-0.76549807	SLC7A8	solute carrier family 7 member 8
200052_s_at	5.17e-11	2.42e-14	7.8621901	21.963281	0.65761997	ILF2	interleukin enhancer binding factor 2
201555_at	5.17e-11	2.79e-14	7.8421935	21.827317	0.46168564	MCM3	minichromosome maintenance complex component 3
205201_at	5.17e-11	2.80e-14	-7.8414739	21.822429	-0.66868463	GLI3	GLI family zinc finger 3
218211_s_at	5.17e-11	3.01e-14	-7.8311922	21.752629	-1.38337873	MLPH	melanophilin
220624_s_at	6.61e-11	4.15e-14	7.785847	21.445633	2.07519499	ELF5	E74 like ETS transcription factor 5
209644_x_at	9.55e-11	6.43e-14	7.7235498	21.026121	1.07304394	CDKN2A	cyclin dependent kinase inhibitor 2A
213033_s_at	1.01e-10	7.22e-14	7.7068826	20.914328	1.71942142	NFIB	nuclear factor I B
213029_at	1.03e-10	7.86e-14	7.6947397	20.832999	1.06253301	NFIB	nuclear factor I B
202412_s_at	1.74e-10	1.40e-13	7.6114813	20.278059	0.64889875	USP1	ubiquitin specific peptidase 1
209604_s_at	1.92e-10	1.64e-13	-7.5888105	20.127769	-1.52247203	GATA3	GATA binding protein 3
202911_at	2.52e-10	2.26e-13	7.5419853	19.81847	0.44316835	MSH6	mutS homolog 6
204667_at	2.69e-10	2.53e-13	-7.5256818	19.711132	-1.36051205	FOXA1	forkhead box A1
213032_at	2.89e-10	2.85e-13	7.5083673	19.597338	1.39574269	NFIB	nuclear factor I B
204822_at	3.85e-10	3.97e-13	7.4598754	19.279742	1.10147847	TTK	TTK protein kinase
214053_at	4.07e-10	4.38e-13	-7.4454176	19.185366	-0.86071757	ERBB4	erb-b2 receptor tyrosine kinase 4
203693_s_at	6.12e-10	6.95e-13	7.3774815	18.743842	0.90113569	E2F3	E2F transcription factor 3
218350_s_at	6.12e-10	7.14e-13	7.3733117	18.716847	0.62415176	GMNN	geminin, DNA replication inhibitor
203066_at	7.10e-10	8.60e-13	-7.3457475	18.538702	-0.80073059	CHST15	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
209290_s_at	7.20e-10	9.04e-13	7.3383948	18.491272	1.34452521	NFIB	nuclear factor I B
205347_s_at	7.76e-10	1.01e-12	7.3218582	18.384737	1.12724889	TMSB15B///TMSB15A	thymosin beta 15B///thymosin beta 15a
203963_at	9.95e-10	1.34e-12	-7.2797452	18.114297	-1.49602668	CA12	carbonic anhydrase 12
205074_at	1.27e-09	1.78e-12	-7.2368086	17.839853	-0.51356167	SLC22A5	solute carrier family 22 member 5
222125_s_at	1.27e-09	1.82e-12	-7.2337282	17.820214	-0.59419595	P4HTM	prolyl 4-hydroxylase, transmembrane
202589_at	1.45e-09	2.15e-12	7.2084874	17.659541	0.85874901	TYMS	thymidylate synthetase
214164_x_at	1.55e-09	2.36e-12	-7.1948073	17.572648	-1.4857689	CA12	carbonic anhydrase 12
202233_s_at	1.60e-09	2.52e-12	7.185113	17.511152	0.48971492	UQCRHL///UQCRH	ubiquinol-cytochrome c reductase hinge protein like///ubiquinol-cytochrome c reductase hinge protein
40093_at	1.91e-09	3.08e-12	-7.1544418	17.317028	-0.82978591	BCAM	basal cell adhesion molecule (Lutheran blood group)
209289_at	1.94e-09	3.22e-12	7.1477344	17.274664	1.18162406	NFIB	nuclear factor I B
208711_s_at	2.04e-09	3.47e-12	-7.1362448	17.202171	-1.13557593	CCND1	cyclin D1
215867_x_at	2.04e-09	3.57e-12	-7.132279	17.177172	-1.30583909	CA12	carbonic anhydrase 12
209669_s_at	2.16e-09	3.88e-12	7.1194684	17.096491	0.51755583	SERBP1	SERPINE1 mRNA binding protein 1
